grain_week,crop_year,week_ending_date,worksheet,metric,period,grain,grade,region,Ktonnes
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CE,Vancouver,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CE,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CE,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CE,Thunder Bay,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CE,Bay & Lakes,35.8
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.1 CE,St. Lawrence,7.7
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CE,Vancouver,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CE,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CE,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CE,Thunder Bay,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CE,Bay & Lakes,39.7
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.2 CE,St. Lawrence,48.1
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.3 CE,Vancouver,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.3 CE,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.3 CE,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.3 CE,Thunder Bay,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.3 CE,Bay & Lakes,0.6
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.3 CE,St. Lawrence,0.2
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.4 CE,Vancouver,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.4 CE,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.4 CE,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.4 CE,Thunder Bay,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.4 CE,Bay & Lakes,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,No.4 CE,St. Lawrence,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,FEED CE,Vancouver,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,FEED CE,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,FEED CE,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,FEED CE,Thunder Bay,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,FEED CE,Bay & Lakes,1.9
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,FEED CE,St. Lawrence,2.3
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,FEED CW,Vancouver,8.8
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,FEED CW,Prince Rupert,0.1
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,FEED CW,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,FEED CW,Thunder Bay,2.8
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,FEED CW,Bay & Lakes,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,FEED CW,St. Lawrence,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,FEED OTHER,Vancouver,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,FEED OTHER,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,FEED OTHER,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,FEED OTHER,Thunder Bay,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,FEED OTHER,Bay & Lakes,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,FEED OTHER,St. Lawrence,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,OTHER,Vancouver,0.1
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,OTHER,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,OTHER,Churchill,0.7
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,OTHER,Thunder Bay,1.3
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,OTHER,Bay & Lakes,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Wheat,OTHER,St. Lawrence,42.2
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.1 CW AD,Vancouver,23.7
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.1 CW AD,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.1 CW AD,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.1 CW AD,Thunder Bay,11.5
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.1 CW AD,Bay & Lakes,8.6
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.1 CW AD,St. Lawrence,8.9
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.2 CW AD,Vancouver,10.3
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.2 CW AD,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.2 CW AD,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.2 CW AD,Thunder Bay,0.4
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.2 CW AD,Bay & Lakes,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.2 CW AD,St. Lawrence,5.8
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.3 CW AD,Vancouver,1.6
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.3 CW AD,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.3 CW AD,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.3 CW AD,Thunder Bay,0.8
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.3 CW AD,Bay & Lakes,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.3 CW AD,St. Lawrence,0.1
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.4 CW AD,Vancouver,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.4 CW AD,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.4 CW AD,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.4 CW AD,Thunder Bay,0.2
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.4 CW AD,Bay & Lakes,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.4 CW AD,St. Lawrence,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.5 CW AD,Vancouver,0
