"REF_DATE","GEO","DGUID","Supply and disposition","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-03","Canada","2016A000011124","Ending stocks","Other renewable fuel plant feedstocks, total","Metric tonnes","214","units","0","v1277885574","1.7.4","3071","","","","0"
"2021-03","Canada","2016A000011124","Ending stocks","Renewable fuels, total","Cubic metres","72","units","0","v1277885579","1.7.5","23338","","","","0"
"2021-03","Canada","2016A000011124","Ending stocks","Fuel ethanol","Cubic metres","72","units","0","v1277885584","1.7.6","18151","","","","0"
"2021-03","Canada","2016A000011124","Ending stocks","Renewable fuels except fuel ethanol","Cubic metres","72","units","0","v1277885589","1.7.7","5187","","","","0"
"2021-03","Canada","2016A000011124","Ending stocks","Renewable fuel plant co-products, total","Metric tonnes","214","units","0","v1277885595","1.7.8","14242","","","","0"
"2021-03","Canada","2016A000011124","Ending stocks","Distillers grains, total","Metric tonnes","214","units","0","v1277885601","1.7.9","11135","","","","0"
"2021-03","Canada","2016A000011124","Ending stocks","Renewable fuel plant co-products except distillers grains","Metric tonnes","214","units","0","v1277885559","1.7.10","3107","","","","0"
"2021-04","Canada","2016A000011124","Beginning stocks","Renewable fuel plant feedstocks, total","Metric tonnes","214","units","0","v1277885549","1.1.1","121477","","","","0"
"2021-04","Canada","2016A000011124","Beginning stocks","Cereal grains, total","Metric tonnes","214","units","0","v1277885560","1.1.2","117642","","","","0"
"2021-04","Canada","2016A000011124","Beginning stocks","Vegetable oils, total","Metric tonnes","214","units","0","v1277885565","1.1.3","764","","","","0"
"2021-04","Canada","2016A000011124","Beginning stocks","Other renewable fuel plant feedstocks, total","Metric tonnes","214","units","0","v1277885570","1.1.4","3071","","","","0"
"2021-04","Canada","2016A000011124","Beginning stocks","Renewable fuels, total","Cubic metres","72","units","0","v1277885575","1.1.5","23338","","","","0"
"2021-04","Canada","2016A000011124","Beginning stocks","Fuel ethanol","Cubic metres","72","units","0","v1277885580","1.1.6","18151","","","","0"
"2021-04","Canada","2016A000011124","Beginning stocks","Renewable fuels except fuel ethanol","Cubic metres","72","units","0","v1277885585","1.1.7","5187","","","","0"
"2021-04","Canada","2016A000011124","Beginning stocks","Renewable fuel plant co-products, total","Metric tonnes","214","units","0","v1277885590","1.1.8","14134","","","","0"
"2021-04","Canada","2016A000011124","Beginning stocks","Distillers grains, total","Metric tonnes","214","units","0","v1277885596","1.1.9","11033","","","","0"
"2021-04","Canada","2016A000011124","Beginning stocks","Renewable fuel plant co-products except distillers grains","Metric tonnes","214","units","0","v1277885554","1.1.10","3101","","","","0"
"2021-04","Canada","2016A000011124","Receipts","Renewable fuel plant feedstocks, total","Metric tonnes","214","units","0","v1277885550","1.2.1","372331","","","","0"
"2021-04","Canada","2016A000011124","Receipts","Cereal grains, total","Metric tonnes","214","units","0","v1277885561","1.2.2","338297","","","","0"
"2021-04","Canada","2016A000011124","Receipts","Vegetable oils, total","Metric tonnes","214","units","0","v1277885566","1.2.3","26142","","","","0"
"2021-04","Canada","2016A000011124","Receipts","Other renewable fuel plant feedstocks, total","Metric tonnes","214","units","0","v1277885571","1.2.4","7892","","","","0"
"2021-04","Canada","2016A000011124","Receipts","Renewable fuel plant co-products, total","Metric tonnes","214","units","0","v1277885591","1.2.8","","..","","","0"
"2021-04","Canada","2016A000011124","Receipts","Distillers grains, total","Metric tonnes","214","units","0","v1277885597","1.2.9","","..","","","0"
"2021-04","Canada","2016A000011124","Receipts","Renewable fuel plant co-products except distillers grains","Metric tonnes","214","units","0","v1277885555","1.2.10","","..","","","0"
"2021-04","Canada","2016A000011124","Inputs","Renewable fuel plant feedstocks, total","Metric tonnes","214","units","0","v1277885551","1.3.1","343756","","","","0"
"2021-04","Canada","2016A000011124","Inputs","Cereal grains, total","Metric tonnes","214","units","0","v1277885562","1.3.2","309729","","","","0"
"2021-04","Canada","2016A000011124","Inputs","Vegetable oils, total","Metric tonnes","214","units","0","v1277885567","1.3.3","26132","","","","0"
"2021-04","Canada","2016A000011124","Inputs","Other renewable fuel plant feedstocks, total","Metric tonnes","214","units","0","v1277885572","1.3.4","7895","","","","0"
"2021-04","Canada","2016A000011124","Production","Renewable fuels, total","Cubic metres","72","units","0","v1277885576","1.4.5","165461","","","","0"
"2021-04","Canada","2016A000011124","Production","Fuel ethanol","Cubic metres","72","units","0","v1277885581","1.4.6","130068","","","","0"
"2021-04","Canada","2016A000011124","Production","Renewable fuels except fuel ethanol","Cubic metres","72","units","0","v1277885586","1.4.7","35393","","","","0"
"2021-04","Canada","2016A000011124","Production","Renewable fuel plant co-products, total","Metric tonnes","214","units","0","v1277885592","1.4.8","109583","","","","0"
"2021-04","Canada","2016A000011124","Production","Distillers grains, total","Metric tonnes","214","units","0","v1277885598","1.4.9","99970","","","","0"
"2021-04","Canada","2016A000011124","Production","Renewable fuel plant co-products except distillers grains","Metric tonnes","214","units","0","v1277885556","1.4.10","9613","","","","0"
"2021-04","Canada","2016A000011124","Shipments","Renewable fuels, total","Cubic metres","72","units","0","v1277885577","1.5.5","168279","","","","0"
"2021-04","Canada","2016A000011124","Shipments","Fuel ethanol","Cubic metres","72","units","0","v1277885582","1.5.6","131295","","","","0"
"2021-04","Canada","2016A000011124","Shipments","Renewable fuels except fuel ethanol","Cubic metres","72","units","0","v1277885587","1.5.7","36984","","","","0"
"2021-04","Canada","2016A000011124","Shipments","Renewable fuel plant co-products, total","Metric tonnes","214","units","0","v1277885593","1.5.8","117166","","","","0"
"2021-04","Canada","2016A000011124","Shipments","Distillers grains, total","Metric tonnes","214","units","0","v1277885599","1.5.9","105576","","","","0"
"2021-04","Canada","2016A000011124","Shipments","Renewable fuel plant co-products except distillers grains","Metric tonnes","214","units","0","v1277885557","1.5.10","11590","","","","0"
"2021-04","Canada","2016A000011124","Losses and adjustments","Renewable fuel plant feedstocks, total","Metric tonnes","214","units","0","v1277885552","1.6.1","-393","","","","0"
"2021-04","Canada","2016A000011124","Losses and adjustments","Cereal grains, total","Metric tonnes","214","units","0","v1277885563","1.6.2","-256","","","","0"
"2021-04","Canada","2016A000011124","Losses and adjustments","Vegetable oils, total","Metric tonnes","214","units","0","v1277885568","1.6.3","0","","","","0"
"2021-04","Canada","2016A000011124","Losses and adjustments","Other renewable fuel plant feedstocks, total","Metric tonnes","214","units","0","v1277885573","1.6.4","-137","","","","0"
"2021-04","Canada","2016A000011124","Losses and adjustments","Renewable fuels, total","Cubic metres","72","units","0","v1277885578","1.6.5","216","","","","0"
"2021-04","Canada","2016A000011124","Losses and adjustments","Fuel ethanol","Cubic metres","72","units","0","v1277885583","1.6.6","168","","","","0"
"2021-04","Canada","2016A000011124","Losses and adjustments","Renewable fuels except fuel ethanol","Cubic metres","72","units","0","v1277885588","1.6.7","48","","","","0"
"2021-04","Canada","2016A000011124","Losses and adjustments","Renewable fuel plant co-products, total","Metric tonnes","214","units","0","v1277885594","1.6.8","1879","","","","0"
"2021-04","Canada","2016A000011124","Losses and adjustments","Distillers grains, total","Metric tonnes","214","units","0","v1277885600","1.6.9","1848","","","","0"
"2021-04","Canada","2016A000011124","Losses and adjustments","Renewable fuel plant co-products except distillers grains","Metric tonnes","214","units","0","v1277885558","1.6.10","31","","","","0"
"2021-04","Canada","2016A000011124","Ending stocks","Renewable fuel plant feedstocks, total","Metric tonnes","214","units","0","v1277885553","1.7.1","150648","","","","0"
"2021-04","Canada","2016A000011124","Ending stocks","Cereal grains, total","Metric tonnes","214","units","0","v1277885564","1.7.2","146466","","","","0"
"2021-04","Canada","2016A000011124","Ending stocks","Vegetable oils, total","Metric tonnes","214","units","0","v1277885569","1.7.3","774","","","","0"
"2021-04","Canada","2016A000011124","Ending stocks","Other renewable fuel plant feedstocks, total","Metric tonnes","214","units","0","v1277885574","1.7.4","3408","","","","0"
"2021-04","Canada","2016A000011124","Ending stocks","Renewable fuels, total","Cubic metres","72","units","0","v1277885579","1.7.5","23049","","","","0"
